virtual mem: 4894,	physical mem: 13598,	 value: 4
virtual mem: 57599,	physical mem: 38143,	 value: 63
virtual mem: 3870,	physical mem: 18974,	 value: 3
virtual mem: 58622,	physical mem: 15614,	 value: 57
virtual mem: 29780,	physical mem: 41300,	 value: 0
virtual mem: 62553,	physical mem: 345,	 value: 0
virtual mem: 2303,	physical mem: 35327,	 value: 63
virtual mem: 51915,	physical mem: 27339,	 value: -78
virtual mem: 6251,	physical mem: 7531,	 value: 26
virtual mem: 38107,	physical mem: 37339,	 value: 54
virtual mem: 59325,	physical mem: 10429,	 value: 0
virtual mem: 61295,	physical mem: 42351,	 value: -37
virtual mem: 26699,	physical mem: 42571,	 value: 18
virtual mem: 51188,	physical mem: 42996,	 value: 0
virtual mem: 59519,	physical mem: 25983,	 value: 31
virtual mem: 7345,	physical mem: 43185,	 value: 0
virtual mem: 20325,	physical mem: 16741,	 value: 0
virtual mem: 39633,	physical mem: 43473,	 value: 0
virtual mem: 1562,	physical mem: 43546,	 value: 1
virtual mem: 7580,	physical mem: 6300,	 value: 0
virtual mem: 8170,	physical mem: 34026,	 value: 7
virtual mem: 62256,	physical mem: 23856,	 value: 0
virtual mem: 35823,	physical mem: 44015,	 value: -5
virtual mem: 27790,	physical mem: 44174,	 value: 27
virtual mem: 13191,	physical mem: 44423,	 value: -31
virtual mem: 9772,	physical mem: 44588,	 value: 0
virtual mem: 7477,	physical mem: 6197,	 value: 0
virtual mem: 44455,	physical mem: 44967,	 value: 105
virtual mem: 59546,	physical mem: 26010,	 value: 58
virtual mem: 49347,	physical mem: 8643,	 value: 48
virtual mem: 36539,	physical mem: 14523,	 value: -82
virtual mem: 12453,	physical mem: 45221,	 value: 0
virtual mem: 49640,	physical mem: 45544,	 value: 0
virtual mem: 28290,	physical mem: 34946,	 value: 27
virtual mem: 44817,	physical mem: 13073,	 value: 0
virtual mem: 8565,	physical mem: 20085,	 value: 0
virtual mem: 16399,	physical mem: 45583,	 value: 3
virtual mem: 41934,	physical mem: 38862,	 value: 40
virtual mem: 45457,	physical mem: 45969,	 value: 0
virtual mem: 33856,	physical mem: 42048,	 value: 0
virtual mem: 19498,	physical mem: 22570,	 value: 19
virtual mem: 17661,	physical mem: 41213,	 value: 0
virtual mem: 63829,	physical mem: 21845,	 value: 0
virtual mem: 42034,	physical mem: 46130,	 value: 41
virtual mem: 28928,	physical mem: 16384,	 value: 0
virtual mem: 30711,	physical mem: 16375,	 value: -3
virtual mem: 8800,	physical mem: 46432,	 value: 0
virtual mem: 52335,	physical mem: 46703,	 value: 27
virtual mem: 38775,	physical mem: 46967,	 value: -35
virtual mem: 52704,	physical mem: 30176,	 value: 0
virtual mem: 24380,	physical mem: 1596,	 value: 0
virtual mem: 19602,	physical mem: 22674,	 value: 19
virtual mem: 57998,	physical mem: 3214,	 value: 56
virtual mem: 2919,	physical mem: 11623,	 value: -39
virtual mem: 8362,	physical mem: 47274,	 value: 8
virtual mem: 17884,	physical mem: 9948,	 value: 0
virtual mem: 45737,	physical mem: 7849,	 value: 0
virtual mem: 47894,	physical mem: 25622,	 value: 46
virtual mem: 59667,	physical mem: 47379,	 value: 68
virtual mem: 10385,	physical mem: 14737,	 value: 0
virtual mem: 52782,	physical mem: 47662,	 value: 51
virtual mem: 64416,	physical mem: 5024,	 value: 0
virtual mem: 40946,	physical mem: 8434,	 value: 39
virtual mem: 16778,	physical mem: 48010,	 value: 16
virtual mem: 27159,	physical mem: 28695,	 value: -123
virtual mem: 24324,	physical mem: 1540,	 value: 0
virtual mem: 32450,	physical mem: 7106,	 value: 31
